cai_max = 9.751300e-01, cai_max_time = 3.874628e-02
current time 8.042297e-01; cai_current: 1.080199e-01; cai_next: 1.080416e-01; cai_current_2dt 1.080677e-01
current time 8.042603e-01; cai_current: 1.080416e-01; cai_next: 1.080677e-01; cai_current_2dt 1.080949e-01
current time 8.042908e-01; cai_current: 1.080677e-01; cai_next: 1.080949e-01; cai_current_2dt 1.081166e-01
current time 8.043213e-01; cai_current: 1.080949e-01; cai_next: 1.081166e-01; cai_current_2dt 1.081383e-01
current time 8.043518e-01; cai_current: 1.081166e-01; cai_next: 1.081383e-01; cai_current_2dt 1.081634e-01
current time 8.043823e-01; cai_current: 1.081383e-01; cai_next: 1.081634e-01; cai_current_2dt 1.081926e-01
current time 8.044128e-01; cai_current: 1.081634e-01; cai_next: 1.081926e-01; cai_current_2dt 1.082174e-01
current time 8.044434e-01; cai_current: 1.081926e-01; cai_next: 1.082174e-01; cai_current_2dt 1.082407e-01
current time 8.044739e-01; cai_current: 1.082174e-01; cai_next: 1.082407e-01; cai_current_2dt 1.082641e-01
current time 8.045044e-01; cai_current: 1.082407e-01; cai_next: 1.082641e-01; cai_current_2dt 1.082874e-01
current time 8.045349e-01; cai_current: 1.082641e-01; cai_next: 1.082874e-01; cai_current_2dt 1.083108e-01
current time 8.045654e-01; cai_current: 1.082874e-01; cai_next: 1.083108e-01; cai_current_2dt 1.083341e-01
current time 8.045959e-01; cai_current: 1.083108e-01; cai_next: 1.083341e-01; cai_current_2dt 1.083574e-01
current time 8.046265e-01; cai_current: 1.083341e-01; cai_next: 1.083574e-01; cai_current_2dt 1.083808e-01
current time 8.046570e-01; cai_current: 1.083574e-01; cai_next: 1.083808e-01; cai_current_2dt 1.084041e-01
current time 8.046875e-01; cai_current: 1.083808e-01; cai_next: 1.084041e-01; cai_current_2dt 1.084275e-01
current time 8.047180e-01; cai_current: 1.084041e-01; cai_next: 1.084275e-01; cai_current_2dt 1.084518e-01
current time 8.047485e-01; cai_current: 1.084275e-01; cai_next: 1.084518e-01; cai_current_2dt 1.084771e-01
current time 8.047791e-01; cai_current: 1.084518e-01; cai_next: 1.084771e-01; cai_current_2dt 1.085021e-01
current time 8.048096e-01; cai_current: 1.084771e-01; cai_next: 1.085021e-01; cai_current_2dt 1.085232e-01
current time 8.048401e-01; cai_current: 1.085021e-01; cai_next: 1.085232e-01; cai_current_2dt 1.085443e-01
current time 8.048706e-01; cai_current: 1.085232e-01; cai_next: 1.085443e-01; cai_current_2dt 1.085686e-01
current time 8.049011e-01; cai_current: 1.085443e-01; cai_next: 1.085686e-01; cai_current_2dt 1.085939e-01
